date,bag,sample,type,hardening,temperature,0,1,2,3,4
20240801,75,30,sample,fresh-water-temperature,42C,24796,34343,43270,59758,73891
20240801,75,B5,blank,fresh-water-temperature,42C,23495,23297,23827,24935,25177
20240801,75,B3,blank,fresh-water-temperature,18C,24409,24148,23933,24911,26008
20240801,75,11,sample,fresh-water-temperature,18C,25269,39397,82908,133067,198279
20240801,75,12,sample,fresh-water-temperature,18C,25283,61176,131684,202785,281127
20240801,75,13,sample,fresh-water-temperature,18C,24583,55704,107824,162443,224236
20240801,75,14,sample,fresh-water-temperature,18C,25297,45142,83606,122161,173875
20240801,75,15,sample,fresh-water-temperature,18C,25071,42386,76128,126640,154393
20240801,75,31,sample,fresh-water-temperature,42C,24707,33733,41935,53818,73662
20240801,75,32,sample,fresh-water-temperature,42C,24505,34369,44400,50169,57347
20240801,75,33,sample,fresh-water-temperature,42C,24635,37059,48415,55651,64308
20240801,75,34,sample,fresh-water-temperature,42C,25053,34361,44030,59835,64366
20240801,75,35,sample,fresh-water-temperature,42C,24936,68870,94940,114728,138244
20240801,75,B6,blank,fresh-water-temperature,42C,24463,24340,25117,26257,27258
20240801,75,16,sample,fresh-water-temperature,18C,25096,31675,58612,87399,114774
20240801,75,17,sample,fresh-water-temperature,18C,25291,37949,82848,121630,144163
20240801,75,18,sample,fresh-water-temperature,18C,24455,74254,193100,284749,385404
20240801,75,19,sample,fresh-water-temperature,18C,24910,46153,86302,130712,187136
20240801,75,20,sample,fresh-water-temperature,18C,25281,43245,119397,191903,283274
20240801,75,36,sample,fresh-water-temperature,42C,25422,55259,71989,86124,96932
20240801,75,37,sample,fresh-water-temperature,42C,24743,51235,66440,77045,88392
20240801,75,38,sample,fresh-water-temperature,42C,25025,62504,103367,127420,153811
20240801,75,39,sample,fresh-water-temperature,42C,24339,69724,99545,122686,145200
20240801,75,40,sample,fresh-water-temperature,42C,24760,38663,50354,83563,132484
20240805,50,B1,blank,immune,18C,26578,27151,27023,27389,27870
20240805,50,1,sample,immune,18C,27014,70416,135949,212303,265836
20240805,50,2,sample,immune,18C,28721,32537,37356,41480,45657
20240805,50,3,sample,immune,18C,28115,60503,106826,168831,230698
20240805,50,4,sample,immune,18C,28848,43814,73543,93850,131303
20240805,50,5,sample,immune,18C,28258,57486,99911,152644,191659
20240805,50,21,sample,immune,42C,27967,39959,47454,52295,60068
20240805,50,22,sample,immune,42C,27814,38417,44865,47360,58647
20240805,50,23,sample,immune,42C,27475,84048,90160,99798,102587
20240805,50,24,sample,immune,42C,28130,39967,47028,51136,56160
20240805,50,25,sample,immune,42C,27274,80553,108516,128960,139821
20240805,50,B4,blank,immune,42C,27096,28150,28223,28576,30807
20240805,50,B2,blank,immune,18C,27869,27644,28071,28059,28375
20240805,50,6,sample,immune,18C,28181,67413,136257,212516,269097
20240805,50,7,sample,immune,18C,27129,51030,85609,127816,169804
20240805,50,8,sample,immune,18C,28063,30740,42908,57599,62871
20240805,50,9,sample,immune,18C,28910,60051,109817,163825,207431
20240805,50,10,sample,immune,18C,28590,79328,156872,239722,294866
20240805,50,26,sample,immune,42C,26792,62969,73820,78223,84247
20240805,50,27,sample,immune,42C,28453,41762,49217,85543,99784
20240805,50,28,sample,immune,42C,28124,97363,121245,142977,154515
20240805,50,29,sample,immune,42C,28475,40903,48226,52304,55300
20240805,50,30,sample,immune,42C,28216,101416,121266,147350,162802
20240805,50,B5,blank,immune,42C,26529,27579,28023,27687,29353
20240805,50,B3,blank,immune,18C,29664,28325,28217,28606,28771
20240805,50,11,sample,immune,18C,28438,66269,117538,172746,227349
20240805,50,12,sample,immune,18C,28518,35980,47442,58101,67050
20240805,50,13,sample,immune,18C,28888,54038,153304,261247,322541
20240805,50,14,sample,immune,18C,28809,66236,214470,346339,420730
20240805,50,15,sample,immune,18C,28559,105744,241314,376518,450319
20240805,50,31,sample,immune,42C,28610,42208,51681,55570,64992
20240805,50,32,sample,immune,42C,29338,164486,178203,211820,227639
20240805,50,33,sample,immune,42C,28639,120898,140357,167013,179046
20240805,50,34,sample,immune,42C,28860,78105,111541,142154,158139
20240805,50,35,sample,immune,42C,27951,50090,60043,61782,67926
20240805,50,B6,blank,immune,42C,27989,28744,28699,29071,29488
20240805,50,16,sample,immune,18C,28258,34821,44418,52565,59444
20240805,50,17,sample,immune,18C,28920,35006,40893,45934,52022
20240805,50,18,sample,immune,18C,28600,74900,116248,139099,166667
20240805,50,19,sample,immune,18C,27752,107961,222472,292576,400875
20240805,50,20,sample,immune,18C,28343,105828,251862,319938,272273
20240805,50,36,sample,immune,42C,28745,40782,47372,51265,54145
20240805,50,37,sample,immune,42C,28128,96383,123372,150385,163213
20240805,50,38,sample,immune,42C,28822,96956,128154,148456,161157
20240805,50,39,sample,immune,42C,28131,43146,55126,60658,63869
20240805,50,40,sample,immune,42C,28209,37816,42780,44249,63078
20240807,47,B1,blank,temperature,18C,24273,24181,25327,24688,25051
20240807,47,1,sample,temperature,18C,23874,36666,58631,88424,123982
20240807,47,2,sample,temperature,18C,25738,39267,82700,121951,148102
20240807,47,3,sample,temperature,18C,25693,36929,76177,115866,153643
20240807,47,4,sample,temperature,18C,26118,38874,73408,115553,154559
20240807,47,5,sample,temperature,18C,25844,50421,96144,157405,219597
20240807,47,21,sample,temperature,42C,25596,35444,47386,52331,64229
20240807,47,22,sample,temperature,42C,25689,34279,44237,48407,52874
20240807,47,23,sample,temperature,42C,25145,47040,66139,78406,86567
20240807,47,24,sample,temperature,42C,26053,35118,46039,79364,99474
20240807,47,25,sample,temperature,42C,25016,53757,77826,92197,106364
20240807,47,B4,blank,temperature,42C,24378,26036,26487,26948,27732
20240807,47,B2,blank,temperature,18C,24827,25457,25576,25477,25833
20240807,47,6,sample,temperature,18C,25557,36997,65335,101597,140426
20240807,47,7,sample,temperature,18C,24469,25804,34594,39601,43427
20240807,47,8,sample,temperature,18C,25554,33886,53301,80068,101987
20240807,47,9,sample,temperature,18C,26230,37041,78222,115882,155137
20240807,47,10,sample,temperature,18C,26302,36824,68443,103194,118256
20240807,47,26,sample,temperature,42C,24560,48910,60955,65726,71280
20240807,47,27,sample,temperature,42C,26095,60239,75844,88795,98770
20240807,47,28,sample,temperature,42C,26269,34701,45048,62866,76163
20240807,47,29,sample,temperature,42C,26258,33614,43894,51231,64987
20240807,47,30,sample,temperature,42C,25934,72336,109959,114555,122109
20240807,47,B5,blank,temperature,42C,24222,24825,25049,25564,25828
20240807,47,B3,blank,temperature,18C,25334,25127,26140,25766,26323
20240807,47,11,sample,temperature,18C,25885,34538,47443,50684,56306
20240807,47,12,sample,temperature,18C,25978,26480,34595,40024,43925
20240807,47,13,sample,temperature,18C,26078,49859,102143,130233,212601
20240807,47,14,sample,temperature,18C,26289,42277,74587,133714,183387
20240807,47,15,sample,temperature,18C,26535,30389,38382,41477,47818
20240807,47,31,sample,temperature,42C,26519,50986,70591,88961,106068
20240807,47,32,sample,temperature,42C,26348,49774,63898,70475,78073
20240807,47,33,sample,temperature,42C,26318,36172,50842,57769,65075
20240807,47,34,sample,temperature,42C,26648,64747,99057,119315,133287
20240807,47,35,sample,temperature,42C,25891,35525,44006,59943,78085
20240807,47,B6,blank,temperature,42C,25230,26292,26619,26510,27145
20240807,47,16,sample,temperature,18C,25837,34725,85794,126353,174148
20240807,47,17,sample,temperature,18C,25964,38825,63627,98437,135864
20240807,47,18,sample,temperature,18C,25941,44003,56445,93796,105881
20240807,47,19,sample,temperature,18C,25386,41571,77822,120225,177394
20240807,47,20,sample,temperature,18C,25980,39401,91380,139081,194637
20240807,47,36,sample,temperature,42C,26441,61594,84920,102194,117722
