date,bag,sample,width.mm,length.mm,notes
20240801,75,32,15.374,24.804,
20240801,75,33,21.706,27.566,
20240801,75,34,19.711,26.238,
20240801,75,35,20.017,34.596,
20240801,75,36,16.028,22.152,
20240801,75,37,14.869,23.978,
20240801,75,38,18.462,34.019,
20240801,75,39,22.237,29.851,
20240801,75,40,19.275,31.229,
20240805,50,1,16.751,21.305,
20240805,50,2,15.96,19.694,
20240805,50,3,14.982,25.612,
20240805,50,4,12.075,17.189,
20240805,50,5,19.121,21.3,
20240805,50,6,16.872,21.685,
20240805,50,7,12.381,23.971,
20240805,50,8,16.378,28.013,
20240805,50,9,16.642,23.323,
20240805,50,10,15.943,29.833,
20240805,50,11,16.114,24.226,
20240805,50,12,18.224,30.23,
20240805,50,13,16.422,24.9,
20240805,50,14,19.168,30.499,
20240805,50,15,20.438,24.866,
20240805,50,16,15.375,24.139,
20240805,50,17,17.409,24.021,
20240805,50,18,16.418,24.164,
20240805,50,19,12.788,24.971,
20240805,50,20,15.42,28.067,
20240805,50,21,15.381,24.421,
20240805,50,22,14.434,22.228,
20240805,50,23,15.344,26.007,
20240805,50,24,16.268,22.406,
20240805,50,25,17.679,20.565,
20240805,50,26,14.474,17.637,
20240805,50,27,15.816,22.608,
20240805,50,28,19.545,26.119,
20240805,50,29,13.894,21.608,
20240805,50,30,19.58,25.011,
20240805,50,31,17.323,25.774,
20240805,50,32,20.999,26.009,
20240805,50,33,18.314,27.737,
20240805,50,34,16.691,29.401,
20240805,50,35,20.353,33.01,
20240805,50,36,14.92,24.262,
20240805,50,37,17.907,20.088,
20240805,50,38,17.71,25.018,
20240805,50,39,19.838,28.102,
20240805,50,40,15.25,22.645,
20240807,47,1,15.603,20.92,
20240807,47,2,16.42,22.276,
20240807,47,3,17.74,21.259,
20240807,47,4,14.782,21.219,
20240807,47,5,17.506,23.27,
20240807,47,6,12.738,22.81,
20240807,47,7,20.793,27.316,
20240807,47,8,13.971,17.594,
20240807,47,9,10.876,22.665,
20240807,47,10,17.169,22.455,
20240807,47,11,13.846,22.655,
20240807,47,12,15.23,25.992,
20240807,47,13,15.964,29.185,
20240807,47,14,17.233,22.23,
20240807,47,15,15.966,23.295,
20240807,47,16,19.014,22.447,
20240807,47,17,18.253,21.185,
20240807,47,18,14.914,21.337,
20240807,47,19,17.255,24.871,
20240807,47,20,16.708,28.349,
20240807,47,21,17.553,24.567,
20240807,47,22,15.849,23.072,
20240807,47,23,14.805,22.182,
20240807,47,24,16.304,26.748,
20240807,47,25,14.328,23.588,
20240807,47,26,16.433,21.412,
20240807,47,27,17.29,21.949,
20240807,47,28,17.231,22.809,
20240807,47,29,13.478,26.306,
20240807,47,30,16.994,19.669,
20240807,47,31,16.705,21.465,
20240807,47,32,14.669,22.248,
20240807,47,33,17.499,27.811,
20240807,47,34,20.105,21.893,
20240807,47,35,13.958,25.574,
20240807,47,36,20.638,23.102,
20240807,47,37,16.035,24.75,
20240807,47,38,20.772,29.09,
20240807,47,39,17.661,23.906,
20240807,47,40,18.934,31.098,
20240808,56,1,14.326,27.758,
20240808,56,2,17.242,23.496,
20240808,56,3,14.57,24.326,
20240808,56,4,15.351,19.299,
20240808,56,5,15.982,23.027,
20240808,56,6,15.661,25.076,
20240808,56,7,16.583,23.016,
20240808,56,8,17.432,24.717,
20240808,56,9,16.271,23.059,
20240808,56,10,14.64,16.962,
20240808,56,11,16.954,25.513,
20240808,56,12,14.975,23.559,
20240808,56,13,18.495,23.166,
20240808,56,14,13.038,20.928,
20240808,56,15,18.223,28.521,
20240808,56,16,16.829,20.963,
20240808,56,17,15.445,26.911,
20240808,56,18,18.252,26.067,
20240808,56,19,16.196,27.617,
20240808,56,20,20.71,24.533,
20240808,56,21,16.31,19.801,
20240808,56,22,15.953,29.111,
20240808,56,23,18.475,26.467,
20240808,56,24,17.208,26.933,
20240808,56,25,19.193,25.171,
20240808,56,26,16.451,25.951,
20240808,56,27,17.471,22.392,
20240808,56,28,16.229,27.834,
20240808,56,29,20.768,29.267,
20240808,56,30,21.243,21.752,
20240808,56,31,15.915,25.553,
20240808,56,32,19.403,29.78,
20240808,56,33,15.986,22.054,
