experiment_dir,source_file,source_name,plate_id,time_hr,read_datetime,actual_temperature,excitation_emission,row_id,col_id,well_id,sample_label,treatment,shell_color,treatment_group,size_mm,weight_mg,family_id_group,sample_id_group,width_mm_measurement,length_mm_measurement,weight_mg_measurement,area_mm2_measurement,area_cm2_measurement,is_blank,exclude_from_analysis,exclude_reason,layout_status,duplicate_timepoint,value,delta_value,mean_blank_value,normalized_value,value_initial,meas_norm_area_mm2_measurement,paper_metabolism_area_mm2_measurement,meas_norm_area_cm2_measurement,paper_metabolism_area_cm2_measurement
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T1.0.txt,plate-C-blue-T1.0.txt,c-blue,1,2026-03-30T11:32:17Z,22.8,"528/20,528/20",B,3,B3,NA,control,NA,control,NA,NA,blue,8,NA,NA,NA,128.117,NA,FALSE,FALSE,NA,parsed_table,FALSE,2509,1400,177,14.175141242937853,233,19.583661809127594,0.08405005068295104,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T1.5.txt,plate-C-blue-T1.5.txt,c-blue,1.5,2026-03-30T12:05:31Z,23.5,"528/20,528/20",B,3,B3,NA,control,NA,control,NA,NA,blue,8,NA,NA,NA,128.117,NA,FALSE,FALSE,NA,parsed_table,FALSE,3947,1438,174.25,22.65136298421808,233,30.807777266092714,0.132222220026149,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T2.0.txt,plate-C-blue-T2.0.txt,c-blue,2,2026-03-30T12:37:14Z,23.9,"528/20,528/20",B,3,B3,NA,control,NA,control,NA,NA,blue,8,NA,NA,NA,128.117,NA,FALSE,FALSE,NA,parsed_table,FALSE,5650,1703,175,32.285714285714285,233,44.10031455622595,0.18927173629281524,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T0.0.txt,plate-C-blue-T0.0.txt,c-blue,0,2026-03-30T10:22:35Z,20.8,"528/20,528/20",B,4,B4,NA,control,NA,control,NA,NA,blue,9,NA,NA,NA,58.377,NA,FALSE,FALSE,NA,parsed_table,FALSE,302,0,185.25,1.630229419703104,302,5.173270294807886,0.017130034088767836,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T0.5.txt,plate-C-blue-T0.5.txt,c-blue,0.5,2026-03-30T10:56:58Z,21.7,"528/20,528/20",B,4,B4,NA,control,NA,control,NA,NA,blue,9,NA,NA,NA,58.377,NA,FALSE,FALSE,NA,parsed_table,FALSE,899,597,178.75,5.0293706293706295,302,15.399900645802285,0.05099304849603406,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T1.0.txt,plate-C-blue-T1.0.txt,c-blue,1,2026-03-30T11:32:17Z,22.8,"528/20,528/20",B,4,B4,NA,control,NA,control,NA,NA,blue,9,NA,NA,NA,58.377,NA,FALSE,FALSE,NA,parsed_table,FALSE,1592,693,177,8.994350282485875,302,27.271014269318396,0.09030137175270993,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T1.5.txt,plate-C-blue-T1.5.txt,c-blue,1.5,2026-03-30T12:05:31Z,23.5,"528/20,528/20",B,4,B4,NA,control,NA,control,NA,NA,blue,9,NA,NA,NA,58.377,NA,FALSE,FALSE,NA,parsed_table,FALSE,2442,850,174.25,14.014347202295552,302,41.831543244771055,0.13851504385685778,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T2.0.txt,plate-C-blue-T2.0.txt,c-blue,2,2026-03-30T12:37:14Z,23.9,"528/20,528/20",B,4,B4,NA,control,NA,control,NA,NA,blue,9,NA,NA,NA,58.377,NA,FALSE,FALSE,NA,parsed_table,FALSE,3187,745,175,18.21142857142857,302,54.593418640903096,0.1807729094069639,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T0.0.txt,plate-C-blue-T0.0.txt,c-blue,0,2026-03-30T10:22:35Z,20.8,"528/20,528/20",B,5,B5,NA,control,NA,control,NA,NA,blue,10,NA,NA,NA,85.486,NA,FALSE,FALSE,NA,parsed_table,FALSE,232,0,185.25,1.252361673414305,232,2.7138946728119224,0.011697821865568631,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T0.5.txt,plate-C-blue-T0.5.txt,c-blue,0.5,2026-03-30T10:56:58Z,21.7,"528/20,528/20",B,5,B5,NA,control,NA,control,NA,NA,blue,10,NA,NA,NA,85.486,NA,FALSE,FALSE,NA,parsed_table,FALSE,4421,4189,178.75,24.73286713286713,232,51.71607046767892,0.22291409684344357,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T1.0.txt,plate-C-blue-T1.0.txt,c-blue,1,2026-03-30T11:32:17Z,22.8,"528/20,528/20",B,5,B5,NA,control,NA,control,NA,NA,blue,10,NA,NA,NA,85.486,NA,FALSE,FALSE,NA,parsed_table,FALSE,9703,5282,177,54.81920903954802,232,113.50396556161242,0.4892412308690191,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T1.5.txt,plate-C-blue-T1.5.txt,c-blue,1.5,2026-03-30T12:05:31Z,23.5,"528/20,528/20",B,5,B5,NA,control,NA,control,NA,NA,blue,10,NA,NA,NA,85.486,NA,FALSE,FALSE,NA,parsed_table,FALSE,10241,538,174.25,58.77187948350072,232,119.79739372528834,0.5163680764021049,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T2.0.txt,plate-C-blue-T2.0.txt,c-blue,2,2026-03-30T12:37:14Z,23.9,"528/20,528/20",B,5,B5,NA,control,NA,control,NA,NA,blue,10,NA,NA,NA,85.486,NA,FALSE,FALSE,NA,parsed_table,FALSE,10100,-141,175,57.714285714285715,232,118.14800084224316,0.5092586243200137,NA,NA
